[2025-06-22 18:25:30,063: INFO: main: Welcome]
[2025-06-22 19:01:09,090: INFO: main: Welcome]
[2025-06-24 13:21:27,679: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 13:21:27,707: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 13:22:23,748: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 13:22:23,750: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 13:22:28,246: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 13:22:28,248: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 13:23:56,226: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 13:23:56,560: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 14:42:33,782: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 14:42:33,821: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 14:55:14,552: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 14:55:14,560: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 14:55:21,280: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 14:55:21,282: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 14:58:22,937: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 14:58:22,946: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 14:59:08,224: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 14:59:08,226: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:06:32,519: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:06:32,525: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:13:30,167: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:14:21,231: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:14:21,234: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:15:59,458: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:15:59,463: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:16:21,879: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:19:26,142: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:19:32,088: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:19:32,092: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:22:48,022: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:22:48,025: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:23:30,503: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:23:30,505: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:24:12,103: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:24:12,106: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:25:04,517: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:25:04,522: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:26:59,068: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:27:02,342: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:28:26,489: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:28:42,238: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:28:42,240: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:29:30,685: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:29:30,808: INFO: common: created directory at: artifacts]
[2025-06-24 15:29:34,986: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:29:34,988: INFO: common: created directory at: artifacts]
[2025-06-24 15:32:11,401: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:32:11,431: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:32:11,435: INFO: common: created directory at: artifacts]
[2025-06-24 15:32:16,892: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:32:16,895: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:32:16,898: INFO: common: created directory at: artifacts]
[2025-06-24 15:32:16,899: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 15:32:20,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:32:20,742: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:32:20,745: INFO: common: created directory at: artifacts]
[2025-06-24 15:32:20,749: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 15:32:24,015: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:32:24,019: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:32:24,022: INFO: common: created directory at: artifacts]
[2025-06-24 15:32:24,024: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 15:32:24,030: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:32:38,807: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:32:48,622: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:32:48,625: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:32:48,627: INFO: common: created directory at: artifacts]
[2025-06-24 15:32:48,630: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 15:32:48,634: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:32:57,921: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:33:08,798: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:33:08,801: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:33:08,804: INFO: common: created directory at: artifacts]
[2025-06-24 15:33:08,807: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 15:33:08,809: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:33:29,665: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:34:20,566: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-24 15:34:20,569: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-24 15:34:20,571: INFO: common: created directory at: artifacts]
[2025-06-24 15:34:20,572: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-24 15:34:20,574: INFO: 2934408803: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:34:28,299: INFO: 2934408803: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-06-24 15:34:29,848: INFO: 2934408803: Extracted zip file sucessfully]
